epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1725,1.11806,2.93678,0.92495,0.99017,0.65848,0.93099,0.63672,0.99134,1.79733,0.82392,0.000551257,0.000551257,0.000551257
2,50.8795,0.88473,1.38413,0.86525,0.96765,0.90218,0.95595,0.63555,1.03447,0.63365,0.83971,0.00109596,0.00109596,0.00109596
3,74.1035,0.83051,0.88553,0.87143,0.95592,0.91252,0.94092,0.66099,0.899,0.65762,0.84071,0.00162967,0.00162967,0.00162967
4,97.0015,0.81814,0.66733,0.86242,0.94663,0.91844,0.96903,0.73275,0.83285,0.50038,0.82631,0.00161749,0.00161749,0.00161749
5,120.165,0.77523,0.58014,0.84334,0.98187,0.90598,0.96793,0.72032,0.78754,0.45261,0.81961,0.00160099,0.00160099,0.00160099
6,143.394,0.74093,0.5013,0.85141,0.98673,0.93967,0.975,0.71592,0.82101,0.45519,0.81911,0.00158448,0.00158448,0.00158448
7,166.217,0.70249,0.46763,0.84272,0.98931,0.93091,0.97568,0.74785,0.74349,0.42682,0.81178,0.00156798,0.00156798,0.00156798
8,189.306,0.69497,0.45671,0.84836,0.98865,0.93565,0.97772,0.75134,0.69931,0.40649,0.807,0.00155148,0.00155148,0.00155148
9,212.352,0.66895,0.4335,0.83402,0.98575,0.93464,0.98362,0.76743,0.70682,0.39657,0.80797,0.00153497,0.00153497,0.00153497
10,235.29,0.65079,0.42186,0.83636,0.9795,0.96067,0.98812,0.78017,0.71927,0.39594,0.80861,0.00151847,0.00151847,0.00151847
11,258.257,0.66349,0.41784,0.83173,0.97384,0.95173,0.98114,0.79037,0.69384,0.3904,0.80719,0.00150197,0.00150197,0.00150197
12,281.007,0.65166,0.40502,0.82899,0.96129,0.94881,0.98322,0.77801,0.69454,0.3842,0.80575,0.00148546,0.00148546,0.00148546
13,303.979,0.64025,0.40044,0.82688,0.98293,0.95529,0.99155,0.80336,0.66262,0.3665,0.8023,0.00146896,0.00146896,0.00146896
14,327.203,0.6289,0.38883,0.82984,0.98241,0.95486,0.98681,0.79744,0.68241,0.37275,0.8017,0.00145246,0.00145246,0.00145246
15,350.224,0.61339,0.38112,0.81877,0.98573,0.93788,0.9824,0.78647,0.68795,0.3697,0.80411,0.00143595,0.00143595,0.00143595
16,373.627,0.60594,0.37368,0.81861,0.98633,0.95576,0.99141,0.81502,0.659,0.36119,0.80167,0.00141945,0.00141945,0.00141945
17,396.755,0.617,0.3717,0.82494,0.98085,0.95296,0.99051,0.80108,0.66751,0.35876,0.80047,0.00140295,0.00140295,0.00140295
18,420.394,0.60371,0.37269,0.83116,0.98272,0.94331,0.98656,0.81941,0.64341,0.35224,0.80062,0.00138644,0.00138644,0.00138644
19,443.426,0.57022,0.35487,0.81263,0.97779,0.95475,0.98826,0.82101,0.61242,0.33753,0.79639,0.00136994,0.00136994,0.00136994
20,466.325,0.55981,0.35102,0.81407,0.9719,0.95641,0.98824,0.81635,0.64094,0.3403,0.79851,0.00135344,0.00135344,0.00135344
21,489.088,0.57227,0.34449,0.80995,0.9878,0.95928,0.9913,0.81489,0.6487,0.3467,0.79929,0.00133693,0.00133693,0.00133693
22,511.825,0.59631,0.35702,0.8252,0.98056,0.95827,0.98587,0.78241,0.65871,0.34933,0.80003,0.00132043,0.00132043,0.00132043
23,534.704,0.54797,0.33825,0.81238,0.98608,0.96151,0.99172,0.82264,0.63175,0.33505,0.79669,0.00130393,0.00130393,0.00130393
24,558.405,0.5655,0.34562,0.81919,0.98363,0.93967,0.97483,0.79148,0.60131,0.37767,0.79579,0.00128742,0.00128742,0.00128742
25,581.318,0.5565,0.33611,0.81941,0.97526,0.95726,0.98736,0.81226,0.61236,0.3316,0.79646,0.00127092,0.00127092,0.00127092
26,603.768,0.53812,0.33072,0.81249,0.9855,0.95691,0.99007,0.8372,0.59659,0.3194,0.79481,0.00125442,0.00125442,0.00125442
27,626.767,0.55119,0.33565,0.81415,0.98698,0.95274,0.98579,0.80868,0.60353,0.32402,0.7964,0.00123791,0.00123791,0.00123791
28,649.293,0.5376,0.32667,0.81395,0.98605,0.95931,0.99247,0.84176,0.59176,0.32489,0.79378,0.00122141,0.00122141,0.00122141
29,672.194,0.53854,0.32763,0.81004,0.98007,0.94067,0.98092,0.81035,0.60215,0.34465,0.79333,0.00120491,0.00120491,0.00120491
30,694.801,0.52553,0.32335,0.8111,0.9902,0.96028,0.99024,0.83795,0.60041,0.31986,0.79424,0.0011884,0.0011884,0.0011884
31,717.867,0.54295,0.32394,0.81109,0.98756,0.95815,0.98807,0.83887,0.58326,0.31229,0.79472,0.0011719,0.0011719,0.0011719
32,740.856,0.55038,0.32418,0.81513,0.99111,0.96078,0.99075,0.83274,0.61079,0.31804,0.79498,0.0011554,0.0011554,0.0011554
33,763.792,0.53063,0.31538,0.8054,0.98864,0.96274,0.99175,0.8391,0.59594,0.30764,0.79304,0.00113889,0.00113889,0.00113889
34,786.714,0.52281,0.31447,0.81089,0.99119,0.96148,0.98988,0.82605,0.5997,0.30961,0.79452,0.00112239,0.00112239,0.00112239
35,809.772,0.52486,0.31092,0.80258,0.99791,0.95803,0.99146,0.84465,0.5789,0.30725,0.79094,0.00110589,0.00110589,0.00110589
36,832.44,0.52496,0.30822,0.80874,0.9871,0.96175,0.99347,0.85692,0.54788,0.29657,0.79095,0.00108938,0.00108938,0.00108938
37,855.56,0.51826,0.30658,0.80475,0.99417,0.94328,0.98024,0.81801,0.56171,0.31487,0.78983,0.00107288,0.00107288,0.00107288
38,878.361,0.50701,0.30024,0.81236,0.99221,0.96088,0.99145,0.85486,0.54591,0.29025,0.79136,0.00105638,0.00105638,0.00105638
